date,home_team,away_team,home_score,away_score,competition,stadium,city,country
1871-03-27,Scotland,England,1,0,1871 Scotland v England International,Raeburn Place,Edinburgh,Scotland
1872-02-05,England,Scotland,2,1,1871–72 Home Nations International,The Oval,London,England
1873-03-03,Scotland,England,0,0,1872–73 Home Nations International,West of Scotland F.C.,Glasgow,Scotland
1874-02-23,England,Scotland,1,0,1873–74 Home Nations International,The Oval,London,England
1875-02-15,England,Ireland,2,0,1874–75 Home Nations rugby union matches,The Oval,London,England
1875-03-08,Scotland,England,0,0,1874–75 Home Nations International,Raeburn Place,Edinburgh,Scotland
1875-12-13,Ireland,England,0,1,1875–76 Home Nations rugby union matches,Rathmines,Dublin,Ireland
1876-03-06,England,Scotland,1,0,1875–76 Home Nations International,The Oval,London,England
1877-02-05,England,Ireland,2,0,1876–77 Home Nations rugby union matches,The Oval,London,England
1877-02-19,Ireland,Scotland,0,6,1876–77 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland
1877-03-05,Scotland,England,1,0,1876–77 Home Nations International,Raeburn Place,Edinburgh,Scotland
1878-03-04,England,Scotland,0,0,1877–78 Home Nations International,The Oval,London,England
1878-03-11,Ireland,England,0,2,1877–78 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland
1879-02-17,Ireland,Scotland,0,2,1878–79 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland
1879-03-10,Scotland,England,1,1,1878–79 Home Nations International,Raeburn Place,Edinburgh,Scotland
1879-03-24,England,Ireland,3,0,1878–79 Home Nations rugby union matches,The Oval,London,England
1880-01-30,Ireland,England,0,1,1879–80 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland
1880-02-14,Scotland,Ireland,3,0,1879–80 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland
1880-02-28,England,Scotland,2,1,1879–80 Home Nations International,Whalley Range,Manchester,England
1881-02-10,England,Ireland,2,0,1880–81 Home Nations rugby union matches,Whalley Range,Manchester,England
1881-02-19,Ireland,Scotland,1,0,1880–81 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland
1881-02-19,England,Wales,8,0,Wales tour,Richardson's Field,Blackheath,England
1881-03-19,Scotland,England,1,1,1880–81 Home Nations International,Raeburn Place,Edinburgh,Scotland
1882-01-28,Ireland,Wales,0,2,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland
1882-02-06,Ireland,England,0,0,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland
1882-02-18,Scotland,Ireland,1,0,1881–82 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland
1882-03-04,England,Scotland,0,1,1881–82 Home Nations International,Whalley Range,Manchester,England
1882-12-16,Wales,England,0,2,1883 Home Nations Championship,St Helen's,Swansea,Wales
1883-01-08,Scotland,Wales,3,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1883-02-10,England,Ireland,1,0,1883 Home Nations Championship,Whalley Range,Manchester,England
1883-02-17,Ireland,Scotland,0,1,1883 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland
1883-03-03,Scotland,England,0,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1884-01-05,England,Wales,2,1,1884 Home Nations Championship,Cardigan Fields,Leeds,England
1884-01-12,Wales,Scotland,0,1,1884 Home Nations Championship,Rodney Parade,Newport,Wales
1884-02-04,Ireland,England,0,1,1884 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1884-02-16,Scotland,Ireland,2,0,1884 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland
1884-03-01,England,Scotland,1,0,1884 Home Nations Championship,Rectory Field,Blackheath,England
1884-04-12,Wales,Ireland,1,0,1884 Home Nations Championship,National Stadium,Cardiff,Wales
1885-01-03,Wales,England,1,2,1885 Home Nations Championship,St Helen's,Swansea,Wales
1885-01-10,Scotland,Wales,0,0,1885 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland
1885-02-07,England,Ireland,1,0,1885 Home Nations Championship,Whalley Range,Manchester,England
1885-03-07,Scotland,Ireland,1,0,1885 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1886-01-02,England,Wales,2,1,1886 Home Nations Championship,Rectory Field,Blackheath,England
1886-01-09,Wales,Scotland,0,2,1886 Home Nations Championship,National Stadium,Cardiff,Wales
1886-02-06,Ireland,England,0,1,1886 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1886-02-20,Scotland,Ireland,4,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1886-03-13,Scotland,England,0,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1887-01-08,Wales,England,0,0,1887 Home Nations Championship,Stradey Park,Llanelli,Wales
1887-02-05,Ireland,England,2,0,1887 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1887-02-19,Ireland,Scotland,0,2,1887 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland
1887-02-26,Scotland,Wales,4,0,1887 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1887-03-05,England,Scotland,0,0,1887 Home Nations Championship,Whalley Range,Manchester,England
1887-03-12,Wales,Ireland,0,1,1887 Home Nations Championship,Birkenhead Park,Birkenhead,England
1888-02-04,Wales,Scotland,1,0,1888 Home Nations Championship,Rodney Parade,Newport,Wales
1888-03-03,Ireland,Wales,2,0,1888 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1888-03-10,Scotland,Ireland,1,0,1888 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1889-02-02,Scotland,Wales,1,0,1889 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1889-02-16,Ireland,Scotland,0,1,1889 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland
1889-03-02,Wales,Ireland,0,1,1889 Home Nations Championship,St Helens,Swansea,Wales
1890-02-01,Wales,Scotland,2,8,1890 Home Nations Championship,National Stadium,Cardiff,Wales
1890-02-15,England,Wales,0,1,1890 Home Nations Championship,Crown Flatt,Dewsbury,England
1890-02-22,Scotland,Ireland,5,0,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1890-03-01,Ireland,Wales,3,3,1890 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1890-03-01,Scotland,England,0,6,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1890-03-15,England,Ireland,3,0,1890 Home Nations Championship,Rectory Field,Blackheath,England
1891-01-03,Wales,England,3,7,1891 Home Nations Championship,Rodney Parade,Newport,Wales
1891-02-07,Scotland,Wales,15,0,1891 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1891-02-07,Ireland,England,0,9,1891 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1891-02-21,Ireland,Scotland,0,14,1891 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland
1891-03-07,Wales,Ireland,6,4,1891 Home Nations Championship,Stradey Park,Llanelli,Wales
1891-03-07,England,Scotland,3,9,1891 Home Nations Championship,Athletic Ground,Richmond,England
1892-01-02,England,Wales,17,0,1892 Home Nations Championship,Rectory Field,Blackheath,England
1892-02-06,Wales,Scotland,2,7,1892 Home Nations Championship,St Helen's,Swansea,Wales
1892-02-06,England,Ireland,7,0,1892 Home Nations Championship,Whalley Range,Manchester,England
1892-02-20,Scotland,Ireland,2,0,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1892-03-05,Ireland,Wales,9,0,1892 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1892-03-06,Scotland,England,0,5,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1893-01-07,Wales,England,12,11,1893 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales
1893-02-04,Scotland,Wales,0,9,1893 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1893-02-04,Ireland,England,0,4,1893 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1893-02-18,Ireland,Scotland,0,0,1893 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland
1893-03-04,England,Scotland,0,8,1893 Home Nations Championship,Headingley,Leeds,England
1893-03-11,Wales,Ireland,2,0,1893 Home Nations Championship,Stradey Park,Llanelli,Wales
1894-01-04,England,Wales,24,3,1894 Home Nations Championship,Upper Park,Birkenhead,England
1894-02-03,England,Ireland,5,7,1894 Home Nations Championship,Rectory Field,Blackheath,England
1894-02-03,Wales,Scotland,7,0,1894 Home Nations Championship,Rodney Parade,Newport,Wales
1894-02-24,Ireland,Scotland,5,0,1894 Home Nations Championship,Lansdowne Road,Dublin,Ireland
1894-03-10,Ireland,Wales,3,0,1894 Home Nations Championship,Ulster Cricket Ground,Belfast,Ireland
1894-03-17,Scotland,England,6,0,1894 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1895-01-05,Wales,England,6,14,1895 Home Nations Championship,St Helen's,Swansea,Wales
1895-01-26,Scotland,Wales,5,4,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland
1895-02-02,Ireland,England,3,6,1895 Home Nations Championship,Lansdowne Road,Dublin,Ireland
